Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
5,05 PROTON,468.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
6,06 PENSKEPORSCHE,461.787500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
7,07 PENSKEPORSCHE,462.387500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
8,85 JDC MILLER,461.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
10,10 Cadilac W.T.,461.262500,off,0.000000,DTCS,88.5,88.5,116,NN,116,Tone->Tone,Auto,5.00,,5.0W,,,,,
11,60 MEYER SHANK,461.725000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
12,93 MEYER SHANK,461.075000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
13,63 SQUADRA CORSE,467.050000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
24,24 BMW RRL,454.662500,off,0.000000,DTCS,88.5,88.5,315,NN,315,Tone->Tone,Auto,5.00,,5.0W,,,,,
25,25 BMW RRL,460.450000,off,0.000000,DTCS,88.5,88.5,145,NN,145,Tone->Tone,Auto,5.00,,5.0W,,,,,
31,31 WHELEN,461.862500,off,0.000000,DTCS,88.5,88.5,532,NN,532,Tone->Tone,Auto,5.00,,5.0W,,,,,
40,40 CADILLAC W.T.,460.725000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
49,IMSA RADIO,454.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
50,IMSA R/C,461.200000,off,0.000000,DTCS,88.5,88.5,432,NN,432,Tone->Tone,Auto,5.00,,5.0W,,,,,
51,2 UNITED AUTOS,455.625000,off,0.000000,DTCS,88.5,88.5,743,NN,743,Tone->Tone,Auto,5.00,,5.0W,,,,,
52,04 CROWDSTRIKE,455.362500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
53,8 TOWER,462.150000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
54,11 TDS,468.837500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
55,18 ERA,463.462500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
57,22 UNITED AUTOS,457.337500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
58,43 INTER EUROPOL,461.337500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
59,52 PR1 MATHESON,467.175000,off,0.000000,TSQL,88.5,162.2,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
60,73 PRATT MILLER,451.137500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
61,74 RILEY,456.387500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
62,88 AF COURSE,460.162500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
63,99 AO RACING,469.925000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
99,IMSA RADIO,454.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
100,IMSA R/C,461.200000,off,0.000000,DTCS,88.5,88.5,432,NN,432,Tone->Tone,Auto,5.00,,5.0W,,,,,
101,1 PAUL MILLER,457.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
102,3 CORVETTE /P.M.,462.712500,off,0.000000,DTCS,88.5,88.5,624,NN,624,Tone->Tone,Auto,5.00,,5.0W,,,,,
103,4 CORVETTE /P.M.,465.087500,off,0.000000,DTCS,88.5,88.5,516,NN,516,Tone->Tone,Auto,5.00,,5.0W,,,,,
104,9 PFAFF,466.062500,off,0.000000,TSQL,88.5,91.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
105,14 VASSARSULLVAN,452.587500,off,0.000000,DTCS,88.5,88.5,654,NN,654,Tone->Tone,Auto,5.00,,5.0W,,,,,
106,20 PROTON,450.850000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
107,007HEARTOFRACING,458.850000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
108,48 PAUL MILLER,452.075000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
110,64 FORD MULTIMAT,469.750000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
111,65 FORD MULTIMAT,469.687500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
112,69 GETSPEED,462.885000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
113,75 75 EXPRESS,463.675000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
114,77 AO RACING,452.450000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
115,81 DRAGONSPEED,468.087500,off,0.000000,DTCS,88.5,88.5,445,NN,445,Tone->Tone,Auto,5.00,,5.0W,,,,,
116,91 TRACKHOUSE,467.375000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
149,IMSA RADIO,454.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
150,IMSA R/C,461.200000,off,0.000000,DTCS,88.5,88.5,432,NN,432,Tone->Tone,Auto,5.00,,5.0W,,,,,
151,12 VASSARSULLIVN,467.512500,off,0.000000,DTCS,88.5,88.5,156,NN,156,Tone->Tone,Auto,5.00,,5.0W,,,,,
152,13 AWA,456.912500,off,0.000000,TSQL,88.5,79.7,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
153,19 VAN DER STEUR,452.462500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
154,21 AF CORSE,453.687500,off,0.000000,DTCS,88.5,88.5,73,NN,73,Tone->Tone,Auto,5.00,,5.0W,,,,,
156,27 HEARTOFRACING,460.425000,off,0.000000,DTCS,88.5,88.5,271,NN,271,Tone->Tone,Auto,5.00,,5.0W,,,,,
157,32 KORTHOFF,460.675000,off,0.000000,DTCS,88.5,88.5,734,NN,734,Tone->Tone,Auto,5.00,,5.0W,,,,,
158,34 CONQUEST,463.712500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
159,36 DXDT,454.875000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
160,44 MAGNUS,464.562500,off,0.000000,TSQL,88.5,97.4,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
161,45 W.TAYLOR,451.325000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
162,47 CETILAR,453.987500,off,0.000000,DTCS,88.5,88.5,565,NN,565,Tone->Tone,Auto,5.00,,5.0W,,,,,
163,50 AF COURSE,469.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
164,57 WINWARD,461.975000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
165,66 GRADIENT,467.312500,off,0.000000,DTCS,88.5,88.5,503,NN,503,Tone->Tone,Auto,5.00,,5.0W,,,,,
166,70 INCEPTION,466.450000,off,0.000000,DTCS,88.5,88.5,703,NN,703,Tone->Tone,Auto,5.00,,5.0W,,,,,
167,78 FORTE,460.487500,off,0.000000,TSQL,88.5,241.8,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
168,80 LONE STAR,458.712500,off,0.000000,DTCS,88.5,88.5,271,NN,271,Tone->Tone,Auto,5.00,,5.0W,,,,,
169,83 IRON DAMES,468.200000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
172,96 TURNER M.S.,466.937500,off,0.000000,DTCS,88.5,88.5,411,NN,411,Tone->Tone,Auto,5.00,,5.0W,,,,,
173,120 WRIGHT M.S.,466.500000,off,0.000000,DTCS,88.5,88.5,65,NN,65,Tone->Tone,Auto,5.00,,5.0W,,,,,
175,021 TRIARSI,465.625000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
176,023 TRIARSI,465.662500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
199,IMSA RADIO,454.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
200,IMSA R/C,461.200000,off,0.000000,DTCS,88.5,88.5,432,NN,432,Tone->Tone,Auto,5.00,,5.0W,,,,,
201,09 AUTOMATIC,468.425000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
202,12 MCCUMBEE MCAL,468.337500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
203,14 AVE M.S.,466.775000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
204,19 VAN DE STEUR,462.600000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
205,27 LONE STAR,458.712500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
206,27-2 LONE STAR,456.337500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
207,28 RS1,459.975000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
208,28-1 RS1,467.737500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
209,39 CARBAHN W/PER,452.825000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
210,43 S. CAMERON,462.675000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
