Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,INDY CAR RADIO 1,454.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
2,#2 JOSEF N.,464.925000,off,0.000000,DTCS,88.5,88.5,271,NN,271,Tone->Tone,Auto,5.00,,5.0W,,,,,
3,#3 SCOTT M.,466.825000,off,0.000000,DTCS,88.5,88.5,223,NN,223,Tone->Tone,Auto,5.00,,5.0W,,,,,
4,#4 DAVID M.,463.012500,off,0.000000,DTCS,88.5,88.5,465,NN,465,Tone->Tone,Auto,5.00,,5.0W,,,,,
5,#5 PATO OWARD,460.562500,off,0.000000,DTCS,88.5,88.5,152,NN,152,Tone->Tone,Auto,5.00,,5.0W,,,,,
6,#6 NOLAN S.,460.662500,off,0.000000,DTCS,88.5,88.5,431,NN,431,Tone->Tone,Auto,5.00,,5.0W,,,,,
7,#7 CHRIS L.,460.762500,off,0.000000,DTCS,88.5,88.5,205,NN,205,Tone->Tone,Auto,5.00,,5.0W,,,,,
8,#8 KYFFIN S.,457.025000,off,0.000000,DTCS,88.5,88.5,516,NN,516,Tone->Tone,Auto,5.00,,5.0W,,,,,
9,#9 SCOTT DIXON,456.650000,off,0.000000,DTCS,88.5,88.5,125,NN,125,Tone->Tone,Auto,5.00,,5.0W,,,,,
10,#10 ALEX PALOU,467.037500,off,0.000000,DTCS,88.5,88.5,36,NN,36,Tone->Tone,Auto,5.00,,5.0W,,,,,
11,#06 HELIO C.,460.332500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
12,#12 WILL POWER,466.212500,off,0.000000,DTCS,88.5,88.5,371,NN,371,Tone->Tone,Auto,5.00,,5.0W,,,,,
14,#14 SANTINO F.,467.075000,off,0.000000,DTCS,88.5,88.5,411,NN,411,Tone->Tone,Auto,5.00,,5.0W,,,,,
15,#15 GRAHAM RAHAL,466.912500,off,0.000000,DTCS,88.5,88.5,32,NN,32,Tone->Tone,Auto,5.00,,5.0W,,,,,
17,#17 KYLE LARSON,460.450000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
18,#18 RINUS VEEKAY,467.200000,off,0.000000,DTCS,88.5,88.5,132,NN,132,Tone->Tone,Auto,5.00,,5.0W,,,,,
20,#20 ALEXANDER R.,469.112500,off,0.000000,DTCS,88.5,88.5,734,NN,734,Tone->Tone,Auto,5.00,,5.0W,,,,,
21,#21 CHRIS R.,469.925000,off,0.000000,DTCS,88.5,88.5,466,NN,466,Tone->Tone,Auto,5.00,,5.0W,,,,,
23,#23 RYAN H.REAY,453.375000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
24,#24 JACK HARVEY,461.012500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
26,#26 COLTON HERTA,464.300000,off,0.000000,DTCS,88.5,88.5,26,NN,26,Tone->Tone,Auto,5.00,,5.0W,,,,,
27,#27 KYLE K.,468.487500,off,0.000000,DTCS,88.5,88.5,25,NN,25,Tone->Tone,Auto,5.00,,5.0W,,,,,
28,#28 MARCUS E.,469.300000,off,0.000000,DTCS,88.5,88.5,115,NN,115,Tone->Tone,Auto,5.00,,5.0W,,,,,
30,#30 DEVLIN D.,468.262500,off,0.000000,DTCS,88.5,88.5,131,NN,131,Tone->Tone,Auto,5.00,,5.0W,,,,,
33,#33 ED CARPENTER,467.712500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
36,#36 R. WICKENS,454.875000,off,0.000000,TSQL,88.5,229.1,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
45,#45 LOUIS FOSTER,466.312500,off,0.000000,DTCS,88.5,88.5,31,NN,31,Tone->Tone,Auto,5.00,,5.0W,,,,,
48,#48 JIMMIE J.,466.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
51,#51 JACOB ABEL,463.600000,off,0.000000,DTCS,88.5,88.5,162,NN,162,Tone->Tone,Auto,5.00,,5.0W,,,,,
55,#55 BENJAMIN P.,463.012500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
60,#60 FELIX R.,461.075000,off,0.000000,DTCS,88.5,88.5,143,NN,143,Tone->Tone,Auto,5.00,,5.0W,,,,,
66,#66 MARCUS A.,452.800000,off,0.000000,DTCS,88.5,88.5,261,NN,261,Tone->Tone,Auto,5.00,,5.0W,,,,,
75,#75 TAKUMA SATO,460.425000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
76,#76 CONOR DALY,458.100000,off,0.000000,DTCS,88.5,88.5,612,NN,612,Tone->Tone,Auto,5.00,,5.0W,,,,,
77,#77 STINGRAYROBB,459.650000,off,0.000000,DTCS,88.5,88.5,627,NN,627,Tone->Tone,Auto,5.00,,5.0W,,,,,
83,#83 ROB S.,461.162500,off,0.000000,DTCS,88.5,88.5,47,NN,47,Tone->Tone,Auto,5.00,,5.0W,,,,,
90,#90 CALLUM IILOT,462.837500,off,0.000000,DTCS,88.5,88.5,54,NN,54,Tone->Tone,Auto,5.00,,5.0W,,,,,
98,#98 MARCO A.,464.137500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
101,INDY CAR RADIO 2,450.737500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
102,#2 JOSEF N.,469.600000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
103,#3 SCOTT M.,464.675000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
104,#4 DAVID M.,467.687500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
105,#5 PATO OWARD,469.437500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
106,#6 NOLAN S.,463.837500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
107,#7 CHRIS L.,459.775000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
108,#8 KYFFIN S.,461.112500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
109,#9 SCOTT DIXON,461.187500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
110,#10 ALEX PALOU,464.037500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
