Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,#1 TONY KANAAN,452.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
2,#2 JOSEF N.,464.925000,off,0.000000,DTCS,88.5,88.5,271,NN,271,Tone->Tone,Auto,5.00,,5.0W,,,,,
3,#3 SCOTT M.,466.825000,off,0.000000,DTCS,88.5,88.5,223,NN,223,Tone->Tone,Auto,5.00,,5.0W,,,,,
4,#4 KYFFIN S.,452.700000,off,0.000000,DTCS,88.5,88.5,51,NN,51,Tone->Tone,Auto,5.00,,5.0W,,,,,
5,#5 PATO OWARD,469.437500,off,0.000000,DTCS,88.5,88.5,152,NN,152,Tone->Tone,Auto,5.00,,5.0W,,,,,
6,#6 CALLUM ILLOT,462.787500,off,0.000000,DTCS,88.5,88.5,431,NN,431,Tone->Tone,Auto,5.00,,5.0W,,,,,
7,#7 ALEX R.,464.462500,off,0.000000,DTCS,88.5,88.5,205,NN,205,Tone->Tone,Auto,5.00,,5.0W,,,,,
8,#8 LINUS L.,457.025000,off,0.000000,DTCS,88.5,88.5,516,NN,516,Tone->Tone,Auto,5.00,,5.0W,,,,,
9,#9 SCOTT DIXON,456.650000,off,0.000000,DTCS,88.5,88.5,125,NN,125,Tone->Tone,Auto,5.00,,5.0W,,,,,
10,#10 ALEX PALOU,467.037500,off,0.000000,DTCS,88.5,88.5,36,NN,36,Tone->Tone,Auto,5.00,,5.0W,,,,,
11,#11 MARCUS A.,466.100000,off,0.000000,DTCS,88.5,88.5,72,NN,72,Tone->Tone,Auto,5.00,,5.0W,,,,,
12,#12 WILL POWER,466.212500,off,0.000000,DTCS,88.5,88.5,371,NN,371,Tone->Tone,Auto,5.00,,5.0W,,,,,
14,#14 SANTINO F.,467.075000,off,0.000000,DTCS,88.5,88.5,411,NN,411,Tone->Tone,Auto,5.00,,5.0W,,,,,
15,#15 GRAHAM RAHAL,466.912500,off,0.000000,DTCS,88.5,88.5,32,NN,32,Tone->Tone,Auto,5.00,,5.0W,,,,,
17,#17 KYLE LARSON,456.137500,off,0.000000,DTCS,88.5,88.5,115,NN,115,Tone->Tone,Auto,5.00,,5.0W,,,,,
18,#18 NOLAN SIEGEL,467.200000,off,0.000000,DTCS,88.5,88.5,132,NN,132,Tone->Tone,Auto,5.00,,5.0W,,,,,
20,#20 ED CARPENTER,469.112500,off,0.000000,DTCS,88.5,88.5,734,NN,734,Tone->Tone,Auto,5.00,,5.0W,,,,,
21,#21 RINUS VEEKAY,469.925000,off,0.000000,DTCS,88.5,88.5,466,NN,466,Tone->Tone,Auto,5.00,,5.0W,,,,,
23,#23 RYAN H.REAY,453.375000,off,0.000000,DTCS,88.5,88.5,455,NN,455,Tone->Tone,Auto,5.00,,5.0W,,,,,
24,#24 CONOR DALY,453.375000,off,0.000000,DTCS,88.5,88.5,455,NN,455,Tone->Tone,Auto,5.00,,5.0W,,,,,
25,#25 STEFAN W.,461.012500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
26,#26 COLTON HERTA,464.137500,off,0.000000,DTCS,88.5,88.5,265,NN,265,Tone->Tone,Auto,5.00,,5.0W,,,,,
27,#27 KYLE K.,469.137500,off,0.000000,DTCS,88.5,88.5,526,NN,526,Tone->Tone,Auto,5.00,,5.0W,,,,,
28,#28 MARCUS E.,469.300000,off,0.000000,DTCS,88.5,88.5,115,NN,115,Tone->Tone,Auto,5.00,,5.0W,,,,,
29,#29 DEVLIN D.,452.850000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
30,#30 PIETRO F.,468.262500,off,0.000000,DTCS,88.5,88.5,131,NN,131,Tone->Tone,Auto,5.00,,5.0W,,,,,
33,#33 CHRISTIAN R.,467.712500,off,0.000000,DTCS,88.5,88.5,654,NN,654,Tone->Tone,Auto,5.00,,5.0W,,,,,
36,#36 R. WICKENS,454.875000,off,0.000000,TSQL,88.5,229.1,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
41,#41 STING RAY R.,463.012500,off,0.000000,DTCS,88.5,88.5,465,NN,465,Tone->Tone,Auto,5.00,,5.0W,,,,,
45,#45 CHRISTIAN L.,466.312500,off,0.000000,DTCS,88.5,88.5,506,NN,506,Tone->Tone,Auto,5.00,,5.0W,,,,,
48,#48 JIMMIE J.,466.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
51,#51 KATHRINE L.,463.600000,off,0.000000,DTCS,88.5,88.5,162,NN,162,Tone->Tone,Auto,5.00,,5.0W,,,,,
55,#55 BENJAMIN P.,463.012500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
60,#60 FELIX R.,461.075000,off,0.000000,DTCS,88.5,88.5,143,NN,143,Tone->Tone,Auto,5.00,,5.0W,,,,,
66,#66 TOM B.,452.800000,off,0.000000,DTCS,88.5,88.5,261,NN,261,Tone->Tone,Auto,5.00,,5.0W,,,,,
75,TAKUMA SATO,460.425000,off,0.000000,DTCS,88.5,88.5,54,NN,54,Tone->Tone,Auto,5.00,,5.0W,,,,,
77,#77 ROMAIN G.,459.650000,off,0.000000,DTCS,88.5,88.5,627,NN,627,Tone->Tone,Auto,5.00,,5.0W,,,,,
78,#78 AGUSTIN C.,458.100000,off,0.000000,DTCS,88.5,88.5,612,NN,612,Tone->Tone,Auto,5.00,,5.0W,,,,,
98,#98 MARCO A.,468.487500,off,0.000000,DTCS,88.5,88.5,25,NN,25,Tone->Tone,Auto,5.00,,5.0W,,,,,
102,#2 JOSEF N.,469.600000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
103,#3 SCOTT M.,464.675000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
105,#5 PATO OWARD,464.487500,off,0.000000,DTCS,88.5,88.5,251,NN,251,Tone->Tone,Auto,5.00,,5.0W,,,,,
106,#6 DAVID M.,461.725000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
107,#7 ALEX R.,464.562500,off,0.000000,DTCS,88.5,88.5,311,NN,311,Tone->Tone,Auto,5.00,,5.0W,,,,,
108,#8 LINUS L.,461.112500,off,0.000000,DTCS,88.5,88.5,364,NN,364,Tone->Tone,Auto,5.00,,5.0W,,,,,
