Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,SB-KLEYN1-1,469.575000,off,0.000000,TSQL,88.5,131.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
2,SB-BOLEN2-1,457.975000,off,0.000000,DTCS,88.5,88.5,51,NN,51,Tone->Tone,NFM,5.00,,5.0W,,,,,
3,SB-SMITH2-1,462.762500,off,0.000000,DTCS,88.5,88.5,116,NN,116,Tone->Tone,NFM,5.00,,5.0W,,,,,
4,SB-FENHAUS4-1,464.287500,off,0.000000,TSQL,88.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
5,SB-CANCILLA5-1,463.500000,off,0.000000,DTCS,88.5,88.5,72,NN,72,Tone->Tone,NFM,5.00,,5.0W,,,,,
6,SB-KNEE5-1,452.837500,off,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
7,SB-DEANGELES7-1,467.000000,off,0.000000,DTCS,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.00,,5.0W,,,,,
8,SB-THORN7-1,459.787500,off,0.000000,DTCS,88.5,88.5,606,NN,606,Tone->Tone,NFM,5.00,,5.0W,,,,,
9,SB-PELTIER8-1,463.412500,off,0.000000,DTCS,88.5,88.5,423,NN,423,Tone->Tone,NFM,5.00,,5.0W,,,,,
10,SB-HANSEN8-1,463.262500,off,0.000000,TSQL,88.5,210.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
11,SB-KRAUS9-1,452.337500,off,0.000000,DTCS,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.00,,5.0W,,,,,
12,SB-KVAPIL8-1,461.987500,off,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
13,SB-GRIFFITH12-1,467.087500,off,0.000000,DTCS,88.5,88.5,54,NN,54,Tone->Tone,NFM,5.00,,5.0W,,,,,
14,SB-OKRZESIK14-1,453.687500,off,0.000000,DTCS,88.5,88.5,466,NN,466,Tone->Tone,NFM,5.00,,5.0W,,,,,
15,SB-GOMES16-1,464.250000,off,0.000000,DTCS,88.5,88.5,411,NN,411,Tone->Tone,NFM,5.00,,5.0W,,,,,
16,SB-HONEYCUTT21-1,469.425000,off,0.000000,TSQL,88.5,179.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
17,SB-RUGGIERO22-1,462.775000,off,0.000000,DTCS,88.5,88.5,152,NN,152,Tone->Tone,NFM,5.00,,5.0W,,,,,
18,SB-SHEPHARD22-1,462.875000,off,0.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
19,SB-VANMETER23-1,465.837500,off,0.000000,DTCS,88.5,88.5,245,NN,245,Tone->Tone,NFM,5.00,,5.0W,,,,,
20,SB-CREWS23-1,456.687500,off,0.000000,DTCS,88.5,88.5,245,NN,245,Tone->Tone,NFM,5.00,,5.0W,,,,,
21,SB-NAUGLE25-1,453.362500,off,0.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
22,SB-POLLARD26-1,467.475000,off,0.000000,DTCS,88.5,88.5,464,NN,464,Tone->Tone,NFM,5.00,,5.0W,,,,,
23,SB-SUTTON26-1,464.562500,off,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
24,SB-BUTCHER28-1,461.625000,off,0.000000,DTCS,88.5,88.5,365,NN,365,Tone->Tone,NFM,5.00,,5.0W,,,,,
25,SB-GRAGSON30-1,452.425000,off,0.000000,TSQL,88.5,233.6,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
26,SB-STECKLY30-1,469.487500,off,0.000000,DTCS,88.5,88.5,122,NN,122,Tone->Tone,NFM,5.00,,5.0W,,,,,
27,SB-LAPCEVICH32-1,457.725000,off,0.000000,DTCS,88.5,88.5,115,NN,115,Tone->Tone,NFM,5.00,,5.0W,,,,,
